Ticker Symbol
ATLASCYCLE
IDENTICAL
DNAMEDIA
DAMODARIND
LOTUSEYE
INDOTHAI
CEREBRAINT
SHREEKARNI
PKTEA
SEL
EXICOM
PIGL
C2C
ICDSLTD
RKDL
RILINFRA
CALSOFT
RICHA
NDGL
MORARJEE
PANSARI
COMSYN
SETCO
TCS
SHIVATEX
CINELINE
MAANALU
GOLDENTOBC
LYPSAGEMS
ABINFRA
KNAGRI
TIPSFILMS
AXISCADES
PARASPETRO
DMCC
IL&FSTRANS
SANGINITA
KOTHARIPRO
INCREDIBLE
PAVNAIND
VHL
ALPSINDUS
FLFL
REPL
S&SPOWER
GANGESSECU
NELCAST
AJOONI
MOTOGENFIN
MANOMAY
ROLLT
SADBHIN
MADHUCON
CUBEXTUB
GSS
CYBERMEDIA
AKSHOPTFBR
IITL
INFOMEDIA
SHIVAMILLS
COUNCODOS
ZENITHDRUG
HERCULES
ATGL
HMT
SHRENIK
AKI
GLOBAL
GANECOS
PAR
BIRLACABLE
SHAH
MASTERTR
GANGAFORGE
ROSSELLIND
RAMANEWS
RELTD
RADHIKAJWE
SANWARIA
HPIL
SIMPLEXINF
CLOUD
ANTGRAPHIC
MUKTAARTS
MAHAPEXLTD
DHUNINV
KAMATHOTEL
GUJAPOLLO
ANMOL
LIBAS
UCAL
IRISDOREME
DIGIDRIVE
RUBFILA
MUTHOOTCAP
SIGNPOST
OSELDEVICE
SAMBHAAV
BLBLIMITED
JETFREIGHT
PILITA
RUCHINFRA
ESSARSHPNG
SILGO
SATIN
ARENTERP
GABRIEL
NESCO
NEWGEN
RANEENGINE
LASA
IRIS
SAREGAMA
MGL
PNC
ORIENTCER
HBSL
MEGASOFT
RANASUG
URJA
INDTERRAIN
CROWN
APCOTEXIND
DIACABS
RAJSREESUG
BURNPUR
SADBHAV
AEGISLOG
KANORICHEM
GENCON
KELLTONTEC
SENORES
ITI
THEINVEST
KOTARISUG
SURYAROSNI
BRNL
VALIANTLAB
KAPSTON
TNTELE
GPTINFRA
SAKUMA
FEL
KCPSUGIND
MEDICO
GVPTECH
HCL-INSYS
GALLANTT
KALYANIFRG
AGROPHOS
KOKUYOCMLN
ISFT
NIITMTS
BBOX
DEEPINDS
RBL
CENTRUM
ACL
SHIVAMAUTO
MITTAL
REMSONSIND
GATECH
FEDFINA
MAHEPC
UNIENTER
KCEIL
BEARDSELL
ALPEXSOLAR
DUCON
SALSTEEL
JMA
POLYPLEX
AKSHAR
LUMAXTECH
SYSTANGO
COSMOFIRST
EMBDL
RAPPID
MODISONLTD
SMLT
IRMENERGY
SINTERCOM
IGL
VAIBHAVGBL
ALPHAGEO
BAJAJHCARE
ORTINGLOBE
ARSHIYA
RBZJEWEL
NECCLTD
IRCTC
SURYODAY
MPSLTD
AAATECH
GLOBE
KSHITIJPOL
VINNY
TIRUMALCHM
INDIASHLTR
AWHCL
INDOUS
GOODLUCK
VISHNUINFR
BBL
INDOCO
MAXESTATES
OCCLLTD
PTL
LGBBROSLTD
TREL
RKEC
JISLJALEQS
INFY
SHREEPUSHK
SANSTAR
DELTACORP
BTML
OMINFRAL
MAGNUM
PONNIERODE
HCC
PVP
PILANIINVS
SANDHAR
VADILALIND
GREENLAM
RANEHOLDIN
GUJALKALI
OAL
MRO-TEK
GHCLTEXTIL
FCL
SESHAPAPER
GNA
COFORGE
PFS
ESTER
MINDACORP
BALAJEE
SHANTI
PHOENIXLTD
